"","FIPS","State","Year","Fentanyl_Total"
"524",17,"Illinois",2020,5110
"525",18,"Indiana",2020,1934
"526",19,"Iowa",2020,619
"527",20,"Kansas",2020,242
"528",21,"Kentucky",2020,3850
"529",22,"Louisiana",2020,1283
"530",23,"Maine",2020,540
"531",24,"Maryland",2020,4740
"532",25,"Massachusetts",2020,4697
"533",26,"Michigan",2020,1641
"534",27,"Minnesota",2020,984
"535",28,"Mississippi",2020,345
"536",29,"Missouri",2020,4332
"537",30,"Montana",2020,33
"538",31,"Nebraska",2020,77
"539",32,"Nevada",2020,146
"540",33,"New
Hampshire",2020,1435
"541",34,"New Jersey",2020,8689
"542",35,"New Mexico",2020,123
"543",36,"New York",2020,6813
"544",37,"North
Carolina",2020,1016
"545",38,"North Dakota",2020,290
"546",39,"Ohio",2020,16643
"547",40,"Oklahoma",2020,185
"548",41,"Oregon",2020,377
"549",42,"Pennsylvania",2020,9392
"550",44,"Rhode Island",2020,549
"551",45,"South
Carolina",2020,1036
"552",46,"South Dakota",2020,4
"553",47,"Tennessee",2020,3685
"554",48,"Texas",2020,888
"555",49,"Utah",2020,52
"556",50,"Vermont",2020,615
"557",51,"Virginia",2020,5558
"558",53,"Washington",2020,1142
"559",54,"West Virginia",2020,1517
"560",55,"Wisconsin",2020,804
"561",56,"Wyoming",2020,39
